iter	RMSE
0	0.3876027862
1	0.3759872967
2	0.364290588
3	0.3527620909
4	0.342368615
5	0.3322219797
6	0.3222849385
7	0.3125201535
8	0.303927296
9	0.2954690405
10	0.2871728243
11	0.2792354396
12	0.2718268176
13	0.2650488217
14	0.2576145991
15	0.2511598491
16	0.2444047977
17	0.238047866
18	0.2320087981
19	0.2267222803
20	0.221414641
21	0.2158606952
22	0.2107942165
23	0.2059477289
24	0.2012807253
25	0.1968214023
26	0.1922764447
27	0.1882730066
28	0.184170951
29	0.18053092
30	0.1771530623
31	0.1738420472
32	0.1706193337
33	0.1673665017
34	0.1641557902
35	0.1613893612
36	0.1584344889
37	0.155578248
38	0.1528445939
39	0.1504280999
40	0.1479620308
41	0.1458184668
42	0.1435974414
43	0.1414661019
44	0.1393568312
45	0.1374961465
46	0.1356156803
47	0.1338608842
48	0.1320837056
49	0.1304080229
50	0.1288077584
51	0.127327505
52	0.125941512
53	0.124447218
54	0.1230286894
55	0.1218036239
56	0.1205711305
57	0.119382834
58	0.1182395646
59	0.1171687307
60	0.1160334832
61	0.1148218597
62	0.1139891846
63	0.1129190897
64	0.1119411473
65	0.1110313819
66	0.1101251095
67	0.1093190839
68	0.1083744858
69	0.1075494468
70	0.1066906236
71	0.1058931208
72	0.1051193052
73	0.1044191009
74	0.1036056553
75	0.1028692258
76	0.1023086522
77	0.1016251038
78	0.1009661124
79	0.1004246669
80	0.09975362582
81	0.09915168451
82	0.098502036
83	0.09799631305
84	0.09745296831
85	0.09684805582
86	0.09630217559
87	0.09580261075
88	0.09538995341
89	0.09494856696
90	0.09450149656
91	0.09411883306
92	0.0937342892
93	0.09329538482
94	0.09299313722
95	0.0925226768
96	0.09219537349
97	0.09181857108
98	0.09147093054
99	0.09100940095
100	0.09064496828
101	0.09035917197
102	0.08996991055
103	0.08964816821
104	0.08939689791
105	0.08906232093
106	0.08870483397
107	0.08838440148
108	0.08810784813
109	0.08784075364
110	0.08757015761
111	0.08732175912
112	0.08699218149
113	0.08662314497
114	0.08640826864
115	0.08614336859
116	0.08584454355
117	0.08560393375
118	0.08539412058
119	0.08513514208
120	0.08485756749
121	0.08468781636
122	0.08445179776
123	0.08424019868
124	0.08407184893
125	0.08376733952
126	0.0835291368
127	0.08320268643
128	0.08302888309
129	0.08286033786
130	0.08268564335
131	0.0825064423
132	0.08233944451
133	0.08209355613
134	0.08186112763
135	0.08164300574
136	0.08147240819
137	0.08129008968
138	0.08114933518
139	0.081033116
140	0.08079372426
141	0.08062818105
142	0.08043796012
143	0.08030769203
144	0.08006898133
145	0.07988403138
146	0.07967218601
147	0.07949825925
148	0.07930774602
149	0.07909102798
150	0.07891990458
151	0.07876411238
152	0.07860502806
153	0.07846350998
154	0.07830782838
155	0.07817323532
156	0.0779935275
157	0.0778307015
158	0.07768120621
159	0.07751414372
160	0.07738993723
161	0.07715333163
162	0.07700728337
163	0.07690377143
164	0.0767792233
165	0.07666612186
166	0.07651212401
167	0.07638533988
168	0.07624386298
169	0.07605852804
170	0.07587302959
171	0.07571002324
172	0.0756138557
173	0.07549645767
174	0.07534535465
175	0.07517218274
176	0.07505460088
177	0.07491508836
178	0.07479029354
179	0.07465110432
180	0.07455984103
181	0.07442163703
182	0.07425249114
183	0.07413633707
184	0.07399563886
185	0.07386927017
186	0.07373813122
187	0.07361894789
188	0.07350288534
189	0.07337018324
190	0.07321326353
191	0.0730989395
192	0.07297112736
193	0.07285837966
194	0.07272003745
195	0.07256104958
196	0.07241664995
197	0.07229606043
198	0.07217121014
199	0.07207906294
200	0.07197357624
201	0.07186478662
202	0.07173542489
203	0.07162959994
204	0.07151632658
205	0.07140536375
206	0.0712874491
207	0.07119241052
208	0.071081194
209	0.07099596972
210	0.07086396519
211	0.07071118303
212	0.07060796273
213	0.0704857612
214	0.07038302223
215	0.07029159255
216	0.07021842728
217	0.07013032619
218	0.07006643526
219	0.06996096655
220	0.06987692882
221	0.0697662798
222	0.06964207763
223	0.06956778238
224	0.06948980231
225	0.06941434394
226	0.06929034624
227	0.06918594107
228	0.06904886153
229	0.068925113
230	0.06886401374
231	0.06877664108
232	0.06867555564
233	0.06854586907
234	0.06842686936
235	0.06833328426
236	0.0682801184
237	0.06816034175
238	0.0680555364
239	0.06791443609
240	0.06784662961
241	0.06773320278
242	0.06762597966
243	0.06748174222
244	0.06743888767
245	0.06729218451
246	0.0671648712
247	0.06703987533
248	0.06693282871
249	0.06682355041
250	0.06674837725
251	0.06665315361
252	0.06660733699
253	0.06648024472
254	0.066383523
255	0.06623670484
256	0.06613810455
257	0.06606097989
258	0.06593681015
259	0.06586247411
260	0.06582150733
261	0.06571159487
262	0.0656099271
263	0.06555480713
264	0.06543966367
265	0.06541179855
266	0.06529719798
267	0.06520163414
268	0.06509695826
269	0.0650312174
270	0.06494390927
271	0.06492453711
272	0.06482045432
273	0.06472129729
274	0.0646310129
275	0.06451947712
276	0.06443274466
277	0.06429909931
278	0.0642058098
279	0.06418848238
280	0.0641009347
281	0.06401673852
282	0.06387850732
283	0.06381360901
284	0.06372706812
285	0.06366455626
286	0.06364657285
287	0.06355304317
288	0.06341459896
289	0.06333348477
290	0.06327372418
291	0.06325782181
292	0.06324240982
293	0.06315026097
294	0.06305437821
295	0.06302952665
296	0.06294404769
297	0.06282932454
298	0.06280502315
299	0.06267540966
300	0.06257347818
301	0.06246679454
302	0.0623856734
303	0.06232564455
304	0.0622424937
305	0.06217745304
306	0.06205783973
307	0.06197498636
308	0.06186792405
309	0.06181201713
310	0.06173078341
311	0.06169936873
312	0.06164532209
313	0.06154520346
314	0.06152462131
315	0.0615071567
316	0.06141849612
317	0.06135561849
318	0.06125509933
319	0.0611698307
320	0.06109440481
321	0.06107577476
322	0.06099381987
323	0.06088744366
324	0.0608555208
325	0.06077933242
326	0.06075739478
327	0.06066185713
328	0.06056347944
329	0.06046186492
330	0.06044786318
331	0.06041863166
332	0.06033780976
333	0.06026516087
334	0.06019245594
335	0.06009737356
336	0.06003306452
337	0.05996325211
338	0.05987093683
339	0.05975722109
340	0.05967038441
341	0.05959949854
342	0.05951224525
343	0.05942105411
344	0.05932954746
345	0.05925550731
346	0.05924082717
347	0.05916385531
348	0.05909445267
349	0.05901743853
350	0.05893010993
351	0.05884292603
352	0.05873189133
353	0.05862152518
354	0.05856266544
355	0.05846140841
356	0.05844723541
357	0.05837579054
358	0.05836739913
359	0.05829332269
360	0.05822177879
361	0.05811601564
362	0.05803433118
363	0.05802242715
364	0.05793806843
365	0.05792912998
366	0.05784817351
367	0.05774468069
368	0.05768009987
369	0.05760250005
370	0.05751618315
371	0.05745607328
372	0.05738593894
373	0.05728495242
374	0.05718249398
375	0.05712281902
376	0.05707668256
377	0.05703022875
378	0.05696574416
379	0.05689028775
380	0.05688113335
381	0.05680926192
382	0.0567708213
383	0.05669808068
384	0.0566499994
385	0.05657168059
386	0.05654157262
387	0.05646540302
388	0.05639362302
389	0.05633903103
390	0.0562731823
391	0.05624023165
392	0.0561884392
393	0.0561795463
394	0.05611406278
395	0.05606054836
396	0.05602432365
397	0.05592695458
398	0.05588808566
399	0.05580792129
400	0.05574928687
401	0.05566158515
402	0.05559736081
403	0.05551698741
404	0.05543499899
405	0.0553738943
406	0.05533446753
407	0.05523787231
408	0.05515651935
409	0.05509435451
410	0.05504776933
411	0.05497460283
412	0.05489774327
413	0.05489041594
414	0.05481823135
415	0.05478776229
416	0.05472132666
417	0.05464257218
418	0.05458280627
419	0.05451335582
420	0.05450720645
421	0.05447428995
422	0.05440493678
423	0.05434881961
424	0.05427643539
425	0.05418860866
426	0.05411827156
427	0.05405370241
428	0.05400202595
429	0.05390691855
430	0.05384610465
431	0.05379038813
432	0.05371030106
433	0.05366346839
434	0.05363420373
435	0.05357558969
436	0.05351931442
437	0.05346773318
438	0.05342204622
439	0.05334710311
440	0.0532619679
441	0.05321202203
442	0.05316889416
443	0.05314653216
444	0.05308599602
445	0.05298564123
446	0.05297895513
447	0.05287898691
448	0.05283549114
449	0.05277042111
450	0.05271278966
451	0.05265357465
452	0.0526297677
453	0.05256446388
454	0.05251486947
455	0.05246046153
456	0.05240232637
457	0.05234970101
458	0.05227462176
459	0.05223565805
460	0.05219140506
461	0.05215046237
462	0.05209172804
463	0.05203641055
464	0.05197452829
465	0.05196848635
